Drive Homozygote Fitness,Introduction Frequency,Generations to 99% drive-carrying individuals
0.72,0.87,3.0
0.72,0.88,3.0
0.72,0.89,3.0
0.72,0.9,2.7
0.72,0.91,2.0
0.72,0.92,2.0
0.72,0.93,2.0
0.72,0.94,1.4
0.72,0.95,1.0
0.72,0.96,1.0
0.72,0.97,1.0
0.72,0.98,1.0
0.72,0.99,1.0
0.72,1.0,1.0
0.73,0.6,1000
0.73,0.61,1000
0.73,0.62,1000
0.73,0.63,1000
0.73,0.64,1000
0.73,0.65,1000
0.73,0.66,1000
0.73,0.67,1000
0.73,0.68,1000
0.73,0.69,20.0
0.73,0.7,12.667
0.73,0.71,9.4
0.73,0.72,8.1
0.73,0.73,7.3
0.73,0.74,6.9
0.73,0.75,6.1
0.73,0.76,6.0
0.73,0.77,5.5
0.73,0.78,5.0
0.73,0.79,5.0
0.73,0.8,4.8
0.73,0.81,4.2
0.73,0.82,4.0
0.73,0.83,4.0
0.73,0.84,4.0
0.73,0.85,3.7
0.73,0.86,3.0
0.73,0.87,3.0
0.73,0.88,3.0
0.73,0.89,3.0
0.73,0.9,2.8
0.73,0.91,2.0
0.73,0.92,2.0
0.73,0.93,2.0
0.73,0.94,1.1
0.73,0.95,1.0
0.73,0.96,1.0
0.73,0.97,1.0
0.73,0.98,1.0
0.73,0.99,1.0
0.73,1.0,1.0
0.74,0.6,1000
0.74,0.61,1000
0.74,0.62,1000
0.74,0.63,1000
0.74,0.64,1000
0.74,0.65,1000
0.74,0.66,1000
0.74,0.67,1000
0.74,0.68,1000
0.74,0.69,18.0
0.74,0.7,11.444
0.74,0.71,9.1
0.74,0.72,7.9
0.74,0.73,7.1
0.74,0.74,6.7
0.74,0.75,6.0
0.74,0.76,6.0
0.74,0.77,5.0
0.74,0.78,5.0
0.74,0.79,5.0
0.74,0.8,4.6
0.74,0.81,4.1
0.74,0.82,4.0
0.74,0.83,4.0
0.74,0.84,3.9
0.74,0.85,3.2
0.74,0.86,3.0
0.74,0.87,3.0
0.74,0.88,3.0
0.74,0.89,3.0
0.74,0.9,2.6
0.74,0.91,2.0
0.74,0.92,2.0
0.74,0.93,2.0
0.74,0.94,1.5
0.74,0.95,1.0
0.74,0.96,1.0
0.74,0.97,1.0
0.74,0.98,1.0
0.74,0.99,1.0
0.74,1.0,1.0
0.75,0.6,1000
0.75,0.61,1000
0.75,0.62,1000
0.75,0.63,1000
0.75,0.64,1000
0.75,0.65,1000
0.75,0.66,1000
0.75,0.67,1000
0.75,0.68,1000
0.75,0.69,12.6
0.75,0.7,10.4
0.75,0.71,8.3
0.75,0.72,7.9
0.75,0.73,7.0
0.75,0.74,6.8
0.75,0.75,6.0
0.75,0.76,5.8
0.75,0.77,5.0
0.75,0.78,5.0
0.75,0.79,5.0
0.75,0.8,4.6
0.75,0.81,4.0
0.75,0.82,4.0
0.75,0.83,4.0
0.75,0.84,3.8
0.75,0.85,3.4
0.75,0.86,3.0
0.75,0.87,3.0
0.75,0.88,3.0
0.75,0.89,3.0
0.75,0.9,2.3
0.75,0.91,2.0
0.75,0.92,2.0
0.75,0.93,2.0
0.75,0.94,1.0
0.75,0.95,1.0
0.75,0.96,1.0
0.75,0.97,1.0
0.75,0.98,1.0
0.75,0.99,1.0
0.75,1.0,1.0
0.76,0.6,1000
0.76,0.61,1000
0.76,0.62,1000
0.76,0.63,1000
0.76,0.64,1000
0.76,0.65,1000
0.76,0.66,1000
0.76,0.67,1000
0.76,0.68,18.0
0.76,0.69,12.222
0.76,0.7,9.6
0.76,0.71,8.4
0.76,0.72,7.3
0.76,0.73,7.0
0.76,0.74,6.1
0.76,0.75,6.0
0.76,0.76,5.8
0.76,0.77,5.0
0.76,0.78,5.0
0.76,0.79,5.0
0.76,0.8,4.4
0.76,0.81,4.0
0.76,0.82,4.0
0.76,0.83,4.0
0.76,0.84,4.0
0.76,0.85,3.3
0.76,0.86,3.0
0.76,0.87,3.0
0.76,0.88,3.0
0.76,0.89,2.9
0.76,0.9,2.3
0.76,0.91,2.0
0.76,0.92,2.0
0.76,0.93,2.0
0.76,0.94,1.2
0.76,0.95,1.0
0.76,0.96,1.0
0.76,0.97,1.0
0.76,0.98,1.0
0.76,0.99,1.0
0.76,1.0,1.0
0.77,0.6,1000
0.77,0.61,1000
0.77,0.62,1000
0.77,0.63,1000
0.77,0.64,1000
0.77,0.65,1000
0.77,0.66,1000
0.77,0.67,1000
0.77,0.68,15.0
0.77,0.69,10.6
0.77,0.7,9.4
0.77,0.71,8.1
0.77,0.72,7.0
0.77,0.73,6.9
0.77,0.74,6.0
0.77,0.75,5.9
0.77,0.76,5.1
0.77,0.77,5.1
0.77,0.78,5.0
0.77,0.79,4.9
0.77,0.8,4.0
0.77,0.81,4.0
0.77,0.82,4.0
0.77,0.83,4.0
0.77,0.84,3.8
0.77,0.85,3.0
0.77,0.86,3.0
0.77,0.87,3.0
0.77,0.88,3.0
0.77,0.89,3.0
0.77,0.9,2.1
0.77,0.91,2.0
0.77,0.92,2.0
0.77,0.93,2.0
0.77,0.94,1.1
0.77,0.95,1.0
0.77,0.96,1.0
0.77,0.97,1.0
0.77,0.98,1.0
0.77,0.99,1.0
0.77,1.0,1.0
0.78,0.6,1000
0.78,0.61,1000
0.78,0.62,1000
0.78,0.63,1000
0.78,0.64,1000
0.78,0.65,1000
0.78,0.66,1000
0.78,0.67,1000
0.78,0.68,13.0
0.78,0.69,10.2
0.78,0.7,8.3
0.78,0.71,8.0
0.78,0.72,7.0
0.78,0.73,6.8
0.78,0.74,6.0
0.78,0.75,6.0
0.78,0.76,5.3
0.78,0.77,5.0
0.78,0.78,5.0
0.78,0.79,4.9
0.78,0.8,4.0
0.78,0.81,4.0
0.78,0.82,4.0
0.78,0.83,4.0
